feature,mean_abs_shap
rolling_30day_avg,5.5742097
month_cos,2.118497
rolling_30day_std,1.2535182
us_aqi,1.1911876
pm2_5,0.8182225
pressure_msl,0.75711817
month_sin,0.7327534
month,0.5743956
aqi_lag_24h,0.5391041
aqi_change_rate_1h,0.46541467
so2,0.41928223
day_of_week,0.3539572
aqi_lag_72h,0.22991489
aqi_lag_48h,0.22027557
hour_cos,0.166771
o3,0.14936781
cloud_cover,0.1306484
pm10,0.12547043
aqi_rolling_24h,0.10961938
wind_speed_10m,0.08937564
hour,0.04746659
temperature_2m,0.026284019
aqi_change_rate_24h,0.025871316
no2,0.022175372
pm2_5_lag_48h,0.019737834
pm2_5_lag_24h,0.014226883
co,0.013527329
precipitation,0.012998333
aqi_rolling_6h,0.012705827
pm2_5_lag_72h,0.012469475
relative_humidity_2m,0.009533453
hour_sin,0.0053544817
is_weekend,0.0
aqi,0.0
