feature,mean_abs_shap
rolling_30day_avg,5.0044227
us_aqi,2.396531
month_cos,1.7913421
pm2_5,1.4004524
pressure_msl,1.374719
month,1.0301481
rolling_30day_std,1.0105016
aqi_change_rate_1h,0.5395588
day_of_week,0.513429
month_sin,0.4583284
pm10,0.40937388
aqi_lag_72h,0.2388304
aqi_lag_24h,0.19350576
aqi_rolling_6h,0.16796128
wind_speed_10m,0.14919846
aqi_rolling_24h,0.14471592
aqi_lag_48h,0.11113011
cloud_cover,0.10682484
so2,0.103045344
o3,0.08174539
no2,0.07899851
pm2_5_lag_48h,0.07621763
aqi_change_rate_24h,0.067542695
pm2_5_lag_72h,0.05867032
precipitation,0.05398015
pm2_5_lag_24h,0.02386041
temperature_2m,0.022210602
hour_cos,0.017702922
relative_humidity_2m,0.0165211
hour,0.0049853176
co,0.0030683447
hour_sin,0.00020234156
is_weekend,0.0
aqi,0.0
