model,horizon,split,n_features,rmse,mae,r2
Ridge_pruned,24,holdout,15,10.687622662769376,7.354269106118525,0.5163177459161
RF_pruned,24,holdout,15,11.279416877063174,7.722687892857231,0.4612699194136102
XGBoost_pruned,24,holdout,15,10.819854528327086,7.395761966705322,0.5042750835418701
Ridge_pruned,48,holdout,15,14.680101811324247,10.347947604846937,0.0869696849680454
RF_pruned,48,holdout,15,14.623978725307,10.177177829973584,0.0939375014704079
XGBoost_pruned,48,holdout,15,14.16490545357748,9.915790557861328,0.14993053674697876
Ridge_pruned,72,holdout,15,15.545832153354986,11.047400944758618,-0.0241454958375864
RF_pruned,72,holdout,15,18.007020859743974,14.102096245371971,-0.3740971724035249
XGBoost_pruned,72,holdout,15,15.50993176640173,11.810474395751953,-0.019420862197875977
